Timestamp,X,Y,Z
20250207110854,-358,-4508,15900
20250207110855,-381,-4506,15942
20250207110856,-405,-4568,15929
20250207110857,-366,-4499,15919
20250207110858,-415,-4502,15920
20250207110859,-406,-4494,15942
20250207110900,-372,-4455,15936
20250207110901,-375,-4474,15940
20250207110902,-412,-4471,15948
20250207110903,-403,-4439,15947
20250207110904,-422,-4440,15939
20250207110905,-416,-4424,15909
20250207110906,-332,-4408,15983
20250207110907,-398,-4430,15951
20250207110908,-367,-4443,15965
20250207110909,-428,-4431,15992
20250207110910,-453,-4431,15958
20250207110911,-440,-4385,15976
20250207110912,-464,-4398,15973
20250207110913,-418,-4382,15969
20250207110914,-443,-4373,15960
20250207110915,-440,-4403,15965
20250207110916,-442,-4382,15964
20250207110917,-425,-4368,15994
20250207110918,-452,-4355,15987
20250207110919,-417,-4382,15973
20250207110920,-458,-4306,16011
20250207110921,-458,-4326,15958
20250207110922,-478,-4354,16004
20250207110923,-466,-4294,15990
20250207110924,-443,-4339,15983
20250207110925,-428,-4342,15985
20250207110926,-480,-4291,15980
20250207110927,-474,-4301,15989
20250207110928,-427,-4287,15993
20250207110929,-500,-4264,15992
20250207110930,-464,-4186,16035
20250207110931,-505,-4262,16017
20250207110932,-529,-4289,16026
20250207110933,-521,-4226,16015
20250207110934,-497,-4286,15967
20250207110935,-496,-4212,15999
20250207110936,-487,-4259,15992
20250207110937,-517,-4181,15997
20250207110938,-504,-4252,16002
20250207110939,-544,-4237,16025
20250207110940,-549,-4181,16021
20250207110941,-526,-4214,16009
20250207110942,-536,-4200,15963
20250207110943,-492,-4196,16043
20250207110944,-489,-4179,15998
20250207110945,-548,-4189,15982
20250207110946,-530,-4191,16042
20250207110947,-520,-4180,15998
20250207110948,-559,-4179,16034
20250207110949,-517,-4163,16042
20250207110950,-551,-4186,15986
20250207110951,2276,1895,13585
20250207110952,-2114,-902,13407
20250207110953,2138,-9582,1555
20250207110954,2221,-3640,14381
20250207110955,3306,23323,13043
20250207110956,-514,4073,15544
20250207110957,860,-1673,16261
20250207110958,3195,-7310,17197
20250207110959,-931,-3360,18669
20250207111000,-304,-2470,16277
20250207111001,-518,-1602,17029
20250207111002,-235,-4405,15983
20250207111003,829,-4918,13022
20250207111004,-2039,-1079,16328
20250207111005,-2388,-937,16313
20250207111006,-2588,-910,16288
20250207111007,-2666,-885,16265
20250207111008,-2740,-907,16250
20250207111009,-2827,-869,16255
20250207111010,-2853,-876,16239
20250207111011,-2846,-933,16289
20250207111012,-2908,-803,16258
20250207111013,-2935,-848,16216
20250207111014,-2999,-809,16206
20250207111015,-3032,-796,16242
20250207111016,-3050,-752,16193
20250207111017,-3102,-807,16206
20250207111018,-3099,-754,16179
20250207111019,-3113,-788,16218
20250207111020,-3110,-815,16198
20250207111021,-3155,-816,16179
20250207111022,-3195,-788,16191
20250207111023,-3200,-791,16213
20250207111024,-3188,-782,16196
20250207111025,-3188,-828,16173
20250207111026,-3206,-770,16173
20250207111027,-3219,-783,16154
20250207111028,-3216,-744,16193
20250207111029,-3214,-784,16198
20250207111030,-3237,-773,16191
20250207111031,-3213,-770,16184
20250207111032,-3256,-704,16125
20250207111033,-3272,-754,16170
20250207111034,-3262,-805,16166
20250207111035,-3304,-777,16149
20250207111036,-3248,-759,16171
20250207111037,-3302,-784,16170
20250207111038,-3383,-488,16055
20250207111039,-3295,-776,16150
20250207111040,-3300,-748,16145
20250207111041,-3338,-732,16155
20250207111042,-3278,-746,16185
20250207111043,-3279,-752,16193
20250207111044,-3329,-773,16143
20250207111045,-3357,-711,16178
20250207111046,-3311,-699,16173
20250207111047,-3341,-1011,16151
20250207111048,-3315,-772,16171
20250207111049,-3318,-779,16156
20250207111050,-3349,-783,16125
20250207111051,-3381,-687,16152
20250207111052,-3360,-757,16141
20250207111053,-3313,-756,16143
20250207111054,-3373,-784,16153
20250207111055,-3352,-779,16147
20250207111056,-3377,-772,16161
20250207111057,-3364,-753,16173
