_id,_rev,x,y,z
,,-60.24,-24.23,92.71
,,32.17,86.98,-84.78
,,72.69,78.37,-107.54
,,31.01,45.78,-35.16
,,25.21,-3.3,113.89
,,-71.59,-57.86,-19.04
,,-69.27,11.84,-4.52
,,1.95,-1.4,-10.07
,,1.46,-0.85,-7.32
,,0.85,0.49,-3.91
,,0.43,0.24,-2.2
,,0.37,0.24,-1.53
,,-0.79,-3.48,-7.02
,,-14.22,2.08,47.06
,,1.34,0.67,-0.55
,,0.49,-0.06,-0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.06
,,0.43,-0.37,0.12
,,0.37,-0.37,0.18
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.06
,,0.43,-0.37,0.06
,,0.43,-0.37,0.12
,,0.37,-0.37,0.06
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.49,-0.37,0.12
,,0.43,-0.37,0.12
,,0.43,-0.37,0.12
,,0.43,-0.37,0.06
,,0.43,-0.37,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.43,-0.43,0.06
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.43,-0.43,0.12
,,0.43,-0.37,0.12
,,0.43,-0.37,0.12
,,0.43,-0.37,0.06
,,0.37,-0.37,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
,,0.37,-0.37,0.12
,,0.43,-0.37,0.06
,,0.43,-0.37,0.12
,,0.43,-0.37,0.12
,,0.37,-0.37,0.12
