_id,_rev,x,y,z
7864751d752e715b4959f9bb4103c617,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4103d544,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4103e2fd,1-93ccdd48118a01019369609e042605bc,0.37,-0.37,0.0
7864751d752e715b4959f9bb4103e72b,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb4103f210,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4104004a,1-c91887ac49986289fcdea9a58332797d,0.31,-0.37,0.06
7864751d752e715b4959f9bb41040531,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb410412ff,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41041db4,1-bdd8a733c4d4e57ed12401d21b52747a,0.61,-0.37,0.12
7864751d752e715b4959f9bb41041e31,1-c91887ac49986289fcdea9a58332797d,0.31,-0.37,0.06
7864751d752e715b4959f9bb41041f9b,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb41042720,1-0bb5f6c94f58cb033bc26d14e8126cd1,-0.73,-0.43,0.06
7864751d752e715b4959f9bb41042cdc,1-4fdad94d3de914e199f2313caf252c44,-0.06,-0.31,-0.06
7864751d752e715b4959f9bb41043c44,1-956151df3490d5f591fb0a3419f827ec,-0.67,0.73,-1.1
7864751d752e715b4959f9bb4104419f,1-8ab7ad71f347adf8ef3f0384d62493ec,-0.55,-0.61,0.12
7864751d752e715b4959f9bb410444dd,1-e43da6fe4626d36df9e2ee1c8bb11bbe,-0.43,-0.98,-0.12
7864751d752e715b4959f9bb41044cf4,1-780fcb9b689dc7b328bbb3ca6d1e2b3b,-2.75,-0.37,-0.31
7864751d752e715b4959f9bb410451e7,1-6b5359e0ee93919e17442580bd4e7a03,0.85,0.12,-0.31
7864751d752e715b4959f9bb4104577b,1-01f914352a710f7dd3d1fa38745b7ec5,0.49,-0.37,0.12
7864751d752e715b4959f9bb4104604a,1-639247e0781e6144e32f7caaf137faa6,0.55,-0.31,0.06
7864751d752e715b4959f9bb410461be,1-4f455d445a06f0b264326ad22571a881,0.55,-0.37,0.06
7864751d752e715b4959f9bb41046239,1-04fd888f75d3ec8ab2b80a50c1ad46c3,0.55,-0.37,0.12
7864751d752e715b4959f9bb41046e38,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb41047274,1-01f914352a710f7dd3d1fa38745b7ec5,0.49,-0.37,0.12
7864751d752e715b4959f9bb41047ce3,1-4c4b377d2ba2090ea78974b16c95339e,0.37,-0.37,0.12
7864751d752e715b4959f9bb410489b3,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41049522,1-c2b9ee33caff9e92e228126ae374e9da,0.31,-0.31,0.0
7864751d752e715b4959f9bb4104a05e,1-ad41e4c8605791498db6bda063aaa25f,0.67,-0.37,0.12
7864751d752e715b4959f9bb4104a6cf,1-01f914352a710f7dd3d1fa38745b7ec5,0.49,-0.37,0.12
7864751d752e715b4959f9bb4104b53f,1-9f864d144eca522fdd0bc405a1093a8b,0.18,-0.18,-0.18
7864751d752e715b4959f9bb4104be01,1-1908ea31ea830f63bac94226eb475ec4,0.12,-0.37,0.0
7864751d752e715b4959f9bb4104c69d,1-c592f594b94a1ae11fc2e7bbbd857d01,-0.18,-0.55,0.12
7864751d752e715b4959f9bb4104cca3,1-3a1617df90ce46c9bc0efa8a0e0b7fe6,0.37,-0.31,0.0
7864751d752e715b4959f9bb4104d75b,1-bdd8a733c4d4e57ed12401d21b52747a,0.61,-0.37,0.12
7864751d752e715b4959f9bb4104e6e4,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb4104ee9e,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb4104f673,1-cbae05a4b5429e7ce5a0acc34a73672f,0.37,-0.37,0.06
7864751d752e715b4959f9bb4104f847,1-4ceb77f3b3a6ca1d5b872521eb8bb1a2,0.55,-0.31,0.0
7864751d752e715b4959f9bb41050687,1-4f455d445a06f0b264326ad22571a881,0.55,-0.37,0.06
7864751d752e715b4959f9bb41050ee5,1-0c8f41ba2308fd817c4d48d6ec650fd9,-2.08,-0.79,0.06
7864751d752e715b4959f9bb41051264,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4105154c,1-a4d8e76f03f287150004abd62ed38142,0.0,-0.31,-0.06
7864751d752e715b4959f9bb41051cb7,1-4ceb77f3b3a6ca1d5b872521eb8bb1a2,0.55,-0.31,0.0
7864751d752e715b4959f9bb41052762,1-bdd8a733c4d4e57ed12401d21b52747a,0.61,-0.37,0.12
7864751d752e715b4959f9bb410527b5,1-2e0dd20c4b6b2ea61356603571cb0fff,0.67,-0.31,0.06
7864751d752e715b4959f9bb41052baa,1-692e05b54c360348ef0d9b21a74ff20a,0.61,-0.43,0.18
7864751d752e715b4959f9bb4105349d,1-510944dda6d746624cd2cefb35a9c41a,0.43,-0.31,0.06
7864751d752e715b4959f9bb41053d8f,1-01f914352a710f7dd3d1fa38745b7ec5,0.49,-0.37,0.12
7864751d752e715b4959f9bb41054900,1-4c4b377d2ba2090ea78974b16c95339e,0.37,-0.37,0.12
7864751d752e715b4959f9bb410557c3,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb410562bb,1-79d909b2f458977bc7d4008b2182f606,0.61,-0.37,0.06
7864751d752e715b4959f9bb41056da2,1-2e0dd20c4b6b2ea61356603571cb0fff,0.67,-0.31,0.06
7864751d752e715b4959f9bb410578aa,1-cbae05a4b5429e7ce5a0acc34a73672f,0.37,-0.37,0.06
7864751d752e715b4959f9bb41058225,1-01f914352a710f7dd3d1fa38745b7ec5,0.49,-0.37,0.12
